muon phi, muon eta, electron pt, electron phi, electron eta, jet 1 pt, jet 1 phi, jet 1 eta, jet 2 pt, jet 2 phi, jet 2 eta, gen muon pt
muon phi, muon eta, electron pt, electron phi, electron eta, jet 1 pt, jet 1 phi, jet 1 eta, jet 2 pt, jet 2 phi, jet 2 eta, gen muon pt
 1.58977, -1.64148, 73.7321, 2.4717, -0.158508, 48.718, -0.156873, -1.40584, 10.0824, -2.51816, -1.4415, 54.3078
 -2.09685, 0.1012, 105.726, 0.382106, -0.138214, 76.1452, -1.91645, 2.05052, 10.6896, 0.858059, -0.89965, -1000
 -0.849815, -0.903879, 32.1915, 2.87082, -0.0829736, 131.113, 2.71872, -0.889028, 10.472, -0.29043, 1.54976, 108.388
 -2.12727, 0.107268, 77.8656, 1.93727, 0.830178, 160.909, 0.88268, 0.681177, 10.0329, -2.16399, 2.3918, 105.773
 -1.94514, 0.456548, 31.6325, -1.38817, 2.22004, 86.97, 0.674423, 0.906772, 10.8204, 2.11623, 0.389265, 75.8791
 0.765148, 0.712022, 96.8985, -2.14128, -0.131401, 81.7555, -0.711245, 0.845937, 10.2648, -0.0696277, -1.40042, -1000
 -0.0305329, -0.372976, 53.7226, -3.07533, 0.457529, 81.4892, -2.14985, -1.02786, 10.8416, 1.37628, 1.95121, 86.0015
 -0.866373, -0.181058, 38.2025, -2.6139, 0.0819517, 163.689, -0.796088, -1.72125, 12.4035, -0.13254, 1.15386, 11.9527
 0.14798, -0.154276, 67.4237, -1.49514, -0.403355, 96.5812, -1.56109, -2.65202, 10.4821, 0.586874, -0.631042, 47.2561
 0.317641, -0.508766, 92.2606, 1.34521, -0.39785, 231.835, -1.20697, 0.667454, 10.8603, -3.08684, 1.75013, 20.1013
 -1.85152, -1.33721, 115.956, 2.3073, -0.739145, 236.217, 0.129531, 1.27778, 11.4812, 1.9211, 1.85298, 62.7547
 -0.0733762, 1.64812, 85.4303, 2.31887, 0.303863, 54.5609, -1.55841, 0.338161, 10.3471, -0.832993, 2.45738, 68.1037
 2.27943, 0.121297, 33.3632, -2.76273, 1.98793, 57.4471, 0.288156, 1.16315, 10.061, -2.82913, -1.27192, 36.244
 1.59019, 2.00169, 51.7188, -2.81113, 0.242185, 74.5248, 0.664316, 1.28602, 10.101, 1.03901, -2.37564, -1000
 0.0682988, 1.98553, 156.557, 0.923191, 1.11442, 177.966, -0.992479, 1.81189, 10.1645, -0.280426, -2.71937, -1000
 2.04658, 0.0428294, 49.5421, 0.727131, 0.123619, 54.8631, 2.75791, 2.44559, 10.2826, -2.58411, -1.29582, 20.6714
 0.0911421, 0.329505, 45.5948, -2.5013, 0.513, 112.993, -0.222013, -1.44964, 10.0344, -0.826355, -1.13892, 17.5348
 -1.03184, -2.01668, 88.8973, 2.95567, -1.59995, 70.1565, 0.206396, -1.37585, 10.0042, 2.71068, -2.5729, 34.9116
 -2.40959, 1.07105, 37.9759, 2.71241, 1.44485, 51.0284, 1.32556, 0.0823355, 10.6576, 2.37675, -0.156895, 20.6252
 -2.26884, 0.981492, 91.8155, 1.81976, 0.49137, 100.256, -0.784197, 0.733525, 10.0338, -0.0294991, 2.23933, 29.3555
 2.48532, -1.47907, 47.1831, 3.00478, -0.329323, 87.22, -1.5045, 0.275123, 10.4323, 2.09846, -3.04363, 35.6302
 2.7658, 1.26137, 92.5738, -0.836679, 1.77954, 95.6033, 2.18067, 1.72795, 10.0284, 2.35439, 2.8465, 56.7557
 -0.875175, 0.443397, 42.8792, -2.51859, -2.23513, 146.41, 1.10203, -0.405506, 10.4905, -2.84449, 2.4493, 8.85132
 1.54722, 1.90436, 49.483, -2.57864, 0.482326, 84.9164, 0.509945, 0.524197, 10.5164, 2.73735, 0.763144, -1000
 -0.929961, -1.52932, 31.6762, 0.237597, -0.775754, 360.833, 2.41159, -2.24375, 10.6748, -0.937608, -0.0808269, 8.03699
 1.02733, -0.631657, 64.6419, 0.0768484, -0.235088, 73.6632, 2.66944, -0.18882, 10.1884, 0.362174, -2.63744, -1000
 -3.00234, -0.727898, 42.5265, -1.89736, -0.572354, 117.998, 0.611755, -0.951879, 10.358, 2.49889, 0.614457, -1000
 -1.39396, 1.97337, 163.985, -0.0125031, -1.18568, 150.251, -2.96016, 0.740441, 10.2553, 0.11645, 1.3248, 25.1304
 -2.54042, -0.382245, 44.2746, 1.34252, 0.916208, 80.792, 2.86329, -0.686791, 10.1375, -0.713447, 1.2731, 57.6532
 0.832009, -0.465886, 51.418, -1.50438, -1.0196, 67.0925, 2.91373, -1.16712, 10.2977, -2.71778, 2.02404, 49.5558
 -0.125041, -1.90391, 43.9553, 1.64432, -0.712339, 53.9444, -2.61904, -0.596147, 17.6852, 2.80559, 2.66152, 17.9026
 2.50214, 0.375697, 65.3084, 1.49832, 1.04979, 63.0852, 2.93605, 2.0669, 10.676, 0.377549, -0.817128, 30.5235
 -1.44688, -0.50263, 46.0881, 2.22911, 0.357309, 65.6656, 0.925838, -2.28193, 11.3991, -0.370214, 0.560714, 40.0878
 1.46059, 1.41546, 55.0904, -2.20076, 2.29025, 138.047, -1.53439, 1.7195, 11.7375, -1.77909, -2.77514, -1000
 -2.35202, -1.35177, 54.4861, 2.69863, -0.438607, 53.8994, -0.457465, -1.7024, 10.4721, -0.477546, 1.25074, 27.0708
 -1.02221, 0.55721, 119.64, 0.524501, 0.776391, 96.4999, 3.09857, 1.14116, 10.2774, 0.0490003, 2.63483, -1000
 1.96842, 0.0700184, 67.4812, -0.631227, 2.10923, 127.524, 2.57855, 0.632105, 10.6888, -2.11233, 2.48363, 14.92
